date,open,close,high,low,volume
2012-02-17,17.2,16.42,17.5,16.31,154179.05
2012-02-20,16.42,16.59,16.88,16.02,73947.33
2012-02-21,16.43,17.69,18.14,16.31,97135.86
2012-02-22,17.55,18.04,18.48,17.35,78013.94
2012-02-23,17.88,17.95,18.2,17.58,56861.0
2012-02-24,17.91,17.93,18.07,17.65,42858.77
2012-02-27,18.1,17.88,18.64,17.73,61329.28
2012-02-28,17.68,17.72,17.98,17.28,45236.8
2012-02-29,17.55,17.56,18.35,17.54,44528.09
2012-03-01,17.3,18.54,18.93,17.06,61643.95
2012-03-02,18.32,18.72,18.9,18.22,52979.97
2012-03-05,18.76,18.8,19.33,18.44,61668.17
2012-03-06,18.6,19.27,19.9,18.51,62117.56
2012-03-07,19.04,18.85,19.98,18.76,52411.69
2012-03-08,18.92,19.2,19.36,18.6,33941.26
2012-03-09,19.3,19.36,19.46,18.9,30578.82
2012-03-12,19.36,19.22,19.41,18.85,25181.92
2012-03-13,19.17,19.94,20.44,19.01,49225.24
2012-03-14,19.88,18.62,20.13,18.25,43553.24
2012-03-15,18.84,18.98,19.29,18.66,40343.87
2012-03-16,18.63,18.99,19.04,18.5,29320.6
2012-03-19,18.8,19.15,19.18,18.72,21318.18
2012-03-20,19.1,18.05,19.1,17.95,30216.1
2012-03-21,18.2,17.9,18.26,17.5,19601.31
2012-03-22,17.73,17.91,18.15,17.62,11521.21
2012-03-23,17.76,17.93,17.93,17.3,13270.94
2012-03-27,18.06,18.07,18.16,17.8,15195.16
2012-03-28,17.93,17.06,18.05,17.06,13196.67
2012-03-29,17.0,17.0,17.5,16.52,12947.84
2012-03-30,16.72,16.22,17.08,16.09,13041.18
2012-04-05,16.22,16.7,16.73,16.02,11088.57
2012-04-06,16.6,16.69,16.86,16.49,9074.05
2012-04-09,16.59,16.21,16.63,16.21,6894.27
2012-04-10,16.1,16.85,16.98,15.75,17285.77
2012-04-11,16.57,16.73,16.88,16.42,10729.64
2012-04-12,16.78,16.95,16.98,16.52,14665.87
2012-04-13,17.07,17.05,17.46,16.91,16588.69
2012-04-16,16.78,16.52,16.78,16.3,14109.89
2012-04-17,16.5,16.39,16.65,16.25,8775.38
2012-04-18,16.37,16.79,16.86,16.37,12186.74
2012-04-19,16.7,16.94,16.99,16.69,11962.12
2012-04-20,17.02,17.41,17.52,17.0,22497.96
2012-04-23,17.2,16.65,17.39,16.6,14806.99
2012-04-24,16.49,16.41,16.96,16.08,11198.05
2012-04-25,16.35,16.55,16.6,16.23,7474.48
2012-04-26,16.67,16.85,17.1,16.67,9873.09
2012-04-27,16.72,16.74,16.98,16.47,7624.53
2012-05-02,16.92,17.05,17.22,16.71,13705.45
2012-05-03,17.05,17.11,17.2,16.88,8679.27
2012-05-04,17.0,17.26,17.38,16.93,15860.22
2012-05-08,17.23,17.12,17.48,17.11,14689.38
2012-05-09,17.01,16.54,17.01,16.52,10804.14
2012-05-10,16.5,16.58,16.7,16.45,5112.11
2012-05-11,16.6,16.5,16.66,16.45,5327.75
2012-05-14,16.75,16.27,16.75,16.1,7281.43
2012-05-15,16.16,16.11,16.25,15.81,7564.29
2012-05-16,16.1,15.82,16.11,15.73,7418.02
2012-05-17,15.7,16.08,16.24,15.65,31161.48
2012-05-18,15.91,15.94,16.18,15.81,14104.99
2012-05-21,15.95,15.92,16.05,15.7,8627.64
2012-05-22,16.05,16.13,16.19,15.98,11889.17
2012-05-23,16.28,15.87,16.28,15.65,15822.6
2012-05-24,15.8,16.0,16.18,15.68,9304.49
2012-05-25,15.97,15.21,15.97,15.2,11573.5
2012-05-28,15.18,15.34,15.39,14.6,11149.97
2012-05-29,15.33,15.52,15.68,15.23,13948.91
2012-05-30,15.57,15.81,15.96,15.45,14214.01
2012-05-31,15.83,15.93,16.12,15.75,16142.61
2012-06-01,16.1,15.75,16.15,15.71,9805.29
2012-06-04,15.35,15.0,15.39,14.96,11777.72
2012-06-05,15.0,15.02,15.19,14.9,5710.77
2012-06-06,15.16,14.88,15.16,14.81,4930.59
